id,category,category_en,name,name_en,condition,purchase_date,qty,price_aud_jan,price_aud_feb,price_aud_mar,market_value,status,proof_url,bought_url,description,description_en,issue_number,notes
appliances-50hz-step-down-transformer,家電,Appliances,50Hz ダウンステップ（1000W）,50Hz Step-Down Transformer (1000W),通常使用,2024-04-24,1,,,30,80,available,https://www.amazon.com.au/gp/your-account/order-history,https://www.amazon.com.au/dp/B07KQZXWKY,日本の50Hz電化製品をオーストラリアで使用するためのダウンステップ変圧器（1000W対応）。,Step-down transformer for using Japanese 50Hz appliances in Australia (1000W capacity).,1,
appliances-coffee-maker,家電,Appliances,コーヒーメーカー（Panasonic NC-A57-K）セット,Coffee Maker (Panasonic NC-A57-K) Set,1台水回り不具合あり・付属品2台分,"2024-04-30, 2024-04-06",1,180,160,140,300,available,https://www.amazon.co.jp/-/en/gp/your-account/order-history,https://www.amazon.co.jp/-/en/dp/B07DTDHP7Q,Panasonic全自動コーヒーメーカー。1台は正常動作、1台は水回りに不具合あり。付属品は2台分すべて揃っています。,"Panasonic fully automatic coffee maker. One works normally, one has water system issues. All accessories for both included.",2,正常: $80–130 / 故障: $20–50
appliances-water-filter-pitcher,家電,Appliances,浄水器（BRITA Marella XL 3.5L）,Water Filter Pitcher (BRITA Marella XL 3.5L),通常使用,2024-04-27,1,20,15,10,40,available,https://www.amazon.com.au/gp/your-account/order-history,https://www.amazon.com.au/dp/B07F9Q8CZZ,BRITA浄水ポット Marella XL（3.5L容量）。,BRITA Marella XL water filter pitcher (3.5L capacity).,3,
appliances-heat-pump-dryer,家電,Appliances,ヒートポンプ式乾燥機（Haier）,Heat Pump Dryer (Haier),通常使用,不明,1,,,480,800,available,別サイト購入,,Haierヒートポンプ式乾燥機。電気代効率が良く、衣類に優しい乾燥方式。,Haier heat pump dryer. Energy efficient and gentle on clothes.,4,
furniture-electric-standing-desk,家具,Furniture,電動昇降デスク（ERGOMAKER 140×60cm）,Electric Standing Desk (ERGOMAKER 140x60cm),前後にややガタつき,2025-04-30,1,,,160,400,available,https://www.amazon.com.au/gp/your-account/order-history,https://www.amazon.com.au/dp/B0CX53QXY8,ERGOMAKER電動昇降デスク（140×60cm）。立ち作業・座り作業を切り替え可能。,ERGOMAKER electric standing desk (140x60cm). Switch between sitting and standing positions.,5,
appliances-printer,家電,Appliances,プリンター（Canon PIXMA TS5160）+ 新品インク,Printer (Canon PIXMA TS5160) + New Ink,通常使用,2024-08-08,1,,,80,100,available,https://www.amazon.com.au/gp/your-account/order-history,https://www.amazon.com.au/dp/B077G2WXF9,Canon PIXMAインクジェットプリンター。スキャン・コピー機能付き。,Canon PIXMA inkjet printer. Includes scan and copy functions.,6,
appliances-microwave,家電,Appliances,電子レンジ（Panasonic 20L 800W）,Microwave (Panasonic 20L 800W),通常使用,2024-10-18,1,,80,60,120,available,https://www.amazon.com.au/gp/your-account/order-history,https://www.amazon.com.au/dp/B0DBPCNVY5,Panasonic電子レンジ（20L、800W）。シンプルで使いやすい。,"Panasonic microwave (20L, 800W). Simple and easy to use.",7,
kitchen-dish-drying-rack,キッチン,Kitchen,食器乾燥ラック（BRIAN & DANY）,Dish Drying Rack (BRIAN & DANY),通常使用,2024年複数回,4,18,14,10,38.99,available,https://www.amazon.com.au/gp/your-account/order-history,https://www.amazon.com.au/dp/B07NBDQMVZ,BRIAN & DANY食器乾燥ラック。コンパクトで使いやすい。,BRIAN & DANY dish drying rack. Compact and practical.,8,各$5–12（4つで$15–40）
kitchen-compactor-trash-can,キッチン,Kitchen,圧縮ゴミ箱（Joseph Joseph Titan 30L）,Compactor Trash Can (Joseph Joseph Titan 30L),通常使用,2024-09-06,1,180,160,140,359.0,available,https://www.amazon.com.au/gp/your-account/order-history,https://www.amazon.com.au/dp/B071D6F3XF,Joseph Joseph Titan圧縮ゴミ箱（30L）。ゴミを圧縮して容量を最大化。,Joseph Joseph Titan compacting trash can (30L). Compresses waste to maximize capacity.,9,
pc-accessories-aeron-chair,PC周辺,PC Accessories,アーロンチェア（Sサイズ）,Aeron Chair (Size S),通常使用,不明,1,,,1600,1800,available,別サイト購入,,Herman Miller アーロンチェア（Sサイズ）。高品質オフィスチェアの定番。,Herman Miller Aeron Chair (Size S). Premium ergonomic office chair.,10,
furniture-overbed-table,家具,Furniture,ベッド用デスク（Overbed Table）,Overbed Table,やや使用感,2025-09-18,1,,,40,40,available,https://www.amazon.com.au/gp/your-account/order-history,https://www.amazon.com.au/dp/B0D3P3FZVV,ベッド用オーバーテーブル。ベッドで作業や食事をする際に便利。,Overbed table. Convenient for working or eating in bed.,11,
bedding-queen-mattress,寝具,Bedding,クイーン マットレス（Zinus Cloud Cool）,Queen Mattress (Zinus Cloud Cool),使用中,2024-09-22,1,,,149.0,250,available,https://www.amazon.com.au/gp/your-account/order-history,https://www.amazon.com.au/dp/B097P43ZGS,Zinus Cloud Coolクイーンサイズマットレス。通気性が良く快適な睡眠。,Zinus Cloud Cool queen mattress. Breathable and comfortable.,12,
bedding-queen-electric-bed-frame,寝具,Bedding,クイーン 電動ベッドフレーム（FLEXISPOT）,Queen Electric Bed Frame (FLEXISPOT),使用中,2025-09-18,1,480,360,240,600,available,https://www.amazon.com.au/gp/your-account/order-history,https://www.amazon.com.au/dp/B0DMFF5176,FLEXISPOT電動ベッドフレーム（クイーンサイズ）。頭部・脚部の角度調整可能。,FLEXISPOT electric bed frame (Queen). Adjustable head and foot positions.,13,
bedding-queen-comforter,寝具,Bedding,クイーン 掛け布団（Dreamaker 600gsm）,Queen Comforter (Dreamaker 600gsm),通常使用,2024-09-22,1,80,60,40,100,available,https://www.amazon.com.au/gp/your-account/order-history,https://www.amazon.com.au/dp/B07V3C653M,Dreamaker掛け布団（600gsm、クイーンサイズ）。暖かく快適。,"Dreamaker comforter (600gsm, Queen). Warm and cozy.",14,
bedding-duvet-cover,寝具,Bedding,掛け布団カバー（Wake In Cloud）,Duvet Cover (Wake In Cloud),通常使用,2024-09-27,1,40,30,20,50,available,https://www.amazon.com.au/gp/your-account/order-history,https://www.amazon.com.au/dp/B07JGXMPWM,Wake In Cloud掛け布団カバー。,Wake In Cloud duvet cover.,15,
bedding-blankets,寝具,Bedding,毛布 ×2（TASTHROW）,Blankets x2 (TASTHROW),通常使用,不明,2,30,25,16,40,available,https://www.amazon.com.au/gp/your-account/order-history,https://www.amazon.com.au/dp/B08K2S6BXS,TASTHROW毛布2枚セット。柔らかく暖かい。,TASTHROW blankets (set of 2). Soft and warm.,16,各$10–25（2つで$20–40）
household-clothes-drying-rack,生活,Household,衣類乾燥ラック（Artiss Bamboo）,Clothes Drying Rack (Artiss Bamboo),通常使用,不明,1,50,35,25,60,available,https://www.amazon.com.au/gp/your-account/order-history,https://www.amazon.com.au/dp/B0BHHRDFB6,Artiss竹製衣類乾燥ラック。折りたたみ可能。,Artiss bamboo clothes drying rack. Foldable design.,17,
household-blackout-curtains,生活,Household,カーテン（Smarcute 132×213cm）,Blackout Curtains (Smarcute 132x213cm),通常使用,不明,1,65,50,30,80,available,https://www.amazon.com.au/gp/your-account/order-history,https://www.amazon.com.au/dp/B07DFBCD9S,Smarcute遮光カーテン（132×213cm）。,Smarcute blackout curtains (132x213cm).,18,
household-curtain-rod,生活,Household,カーテンレール（Oxdigi 63-82.7インチ）,Curtain Rod (Oxdigi 63-82.7 inch),通常使用,不明,1,30,25,16,40,available,https://www.amazon.com.au/gp/your-account/order-history,https://www.amazon.com.au/dp/B081TVH8LD,Oxdigi伸縮式カーテンレール（63-82.7インチ）。,Oxdigi adjustable curtain rod (63-82.7 inch).,19,
household-automatic-curtain-opener,生活,Household,自動カーテン開閉ガジェット,Automatic Curtain Opener,通常使用,不明,1,65,50,30,80,available,https://www.amazon.com.au/gp/your-account/order-history,https://www.amazon.com.au/dp/B0DK18Z1FN,自動カーテン開閉ガジェット。スマートホーム対応。,Automatic curtain opener gadget. Smart home compatible.,20,
pc-accessories-bose-speakers-2-sets,PC周辺,PC Accessories,Bose スピーカー 2セット,Bose Speakers 2 Sets,型番により変動,2022-07-28（メルカリ）,2,125,125,125,800,available,メルカリJP購入履歴,,Boseスピーカー2セット。高品質サウンド。,Bose speakers (2 sets). High-quality sound.,21,1セット$150–400（合計$300–800）
appliances-dyson-hot-cool-fan-heater,家電,Appliances,Dyson 温風扇風機（Hot & Cool）,Dyson Hot & Cool Fan Heater,通常使用,不明,1,,,360,450,available,公式/別サイト,,Dyson Hot & Cool温風扇風機。夏は涼しく、冬は暖かく。,"Dyson Hot & Cool fan heater. Cooling in summer, heating in winter.",22,
appliances-dyson-vacuum,家電,Appliances,Dyson 掃除機（V8 Extra）,Dyson Vacuum (V8 Extra),通常使用,2024-09-13,1,,,400,500,available,https://www.amazon.com.au/gp/your-account/order-history,https://www.amazon.com.au/dp/B0D7MMSRKL,Dyson V8 Extraコードレス掃除機。強力な吸引力。,Dyson V8 Extra cordless vacuum. Powerful suction.,23,
household-electric-kettle,生活,Household,ケトル（Kambrook 1.7L）,Electric Kettle (Kambrook 1.7L),通常使用,不明,1,30,25,16,40,available,https://www.amazon.com.au/gp/your-account/order-history,https://www.amazon.com.au/dp/B07X7GFQ2S,Kambrook電気ケトル（1.7L）。,Kambrook electric kettle (1.7L).,24,
household-toto-portable-bidet,生活,Household,TOTO 小型ウォシュレット（携帯用）,TOTO Portable Bidet,通常使用,不明,1,50,35,25,60,available,https://www.amazon.com.au/gp/your-account/order-history,https://www.amazon.com.au/dp/B005FDJ8SM,TOTO携帯ウォシュレット。旅行にも便利。,TOTO portable bidet. Convenient for travel.,25,
furniture-monitor-light-bar,家具,Furniture,デスクライト（Quntis Monitor Light Bar）,Monitor Light Bar (Quntis),通常使用,不明,2,,,50,80,available,https://www.amazon.com.au/gp/your-account/order-history,https://www.amazon.com.au/dp/B0CSJSG5CB,Quntisモニターライトバー。目に優しいLED照明。,Quntis monitor light bar. LED lighting that's easy on the eyes.,26,各$30–60
household-laundry-basket,生活,Household,衣類バスケット（Joseph Joseph 35L）,Laundry Basket (Joseph Joseph 35L),通常使用,不明,1,30,25,16,40,available,https://www.amazon.com.au/gp/your-account/order-history,https://www.amazon.com.au/dp/B0BS19PG6M,Joseph Joseph衣類バスケット（35L）。,Joseph Joseph laundry basket (35L).,27,
household-power-strip,生活,Household,コンセントエクステンション（Auvo 8口+4USB）,Power Strip (Auvo 8-Outlet + 4 USB),通常使用,不明,2,40,30,20,50,available,https://www.amazon.com.au/gp/your-account/order-history,https://www.amazon.com.au/dp/B09NPLQQ2P,Auvo電源タップ（8口+4USB）。サージプロテクター付き。,Auvo power strip (8 outlets + 4 USB). With surge protection.,28,各$15–35
household-ugg-slippers,生活,Household,UGG スリッパ,UGG Slippers,使用中,不明,2,95,70,50,120,available,https://www.amazon.com.au/gp/your-account/order-history,https://www.amazon.com.au/dp/B07BN5XKQR,UGGスリッパ。暖かく快適。,UGG slippers. Warm and comfortable.,29,
pc-accessories-desk-mat,PC周辺,PC Accessories,デスクマット（100×40cm）,Desk Mat (100x40cm),通常使用,不明,1,,,10,35,available,https://www.amazon.com.au/gp/your-account/order-history,https://www.amazon.com.au/dp/B0919KR6HC,デスクマット（100×40cm）。,Desk mat (100x40cm).,30,
household-wipes-dispenser,生活,Household,ウェットティッシュケース（OXO）,Wipes Dispenser (OXO),通常使用,不明,1,25,18,12,30,available,https://www.amazon.com.au/gp/your-account/order-history,https://www.amazon.com.au/dp/B0771FFJ1J,OXOウェットティッシュディスペンサー。,OXO wipes dispenser.,31,
household-s-hooks-8-pack,生活,Household,S字フック 8個セット,S-Hooks 8-Pack,通常使用,不明,2,12,9,6,15,available,https://www.amazon.com.au/gp/your-account/order-history,https://www.amazon.com.au/dp/B09VFD6Z13,S字フック8個セット。収納に便利。,S-hooks 8-pack. Useful for storage.,32,1パック$5–12
pc-accessories-usb-fan,PC周辺,PC Accessories,USB ファン（120mm）,USB Fan (120mm),通常使用,不明,1,25,18,12,30,available,https://www.amazon.com.au/gp/your-account/order-history,https://www.amazon.com.au/dp/B0C61YW5SX,USBファン（120mm）。静音設計。,USB fan (120mm). Quiet operation.,33,
pc-accessories-macbook-air-m1-us-keyboard,PC周辺,PC Accessories,MacBook Air M1（256GB/8GB）USキーボード,MacBook Air M1 (256GB/8GB) US Keyboard,使用中,2023-07-29（メルカリ）,1,500,450,400,1200,available,メルカリJP購入履歴,,MacBook Air M1（256GB SSD、16GB RAM、USキーボード）。,"MacBook Air M1 (256GB SSD, 16GB RAM, US keyboard).",34,
pc-accessories-qnap-nas,PC周辺,PC Accessories,QNAP NAS（TS-231+）2ベイ,QNAP NAS (TS-231+) 2-Bay,使用中,2017-01-21,1,180,180,180,700,available,https://www.amazon.co.jp/-/en/gp/your-account/order-history,https://www.amazon.co.jp/-/en/dp/B0897C8XTT,QNAP TurboNAS TS-231+（デュアルコア1.4GHz、1GBメモリ、2ベイ）。DTCP-IP対応。,"QNAP TurboNAS TS-231+ (Dual-core 1.4GHz, 1GB RAM, 2-bay). DTCP-IP compatible.",35,
pc-accessories-wd-red-plus-10tb,PC周辺,PC Accessories,WD Red Plus 10TB ×2,WD Red Plus 10TB x2,使用中,不明（Amazon JP）,2,400,400,400,420,available,https://www.amazon.co.jp/-/en/gp/your-account/order-history,https://www.amazon.co.jp/-/en/dp/B083NYWGLJ,WD Red Plus 10TB HDD 2台。NAS用途に最適。,WD Red Plus 10TB HDD x2. Ideal for NAS use.,36,各$200–350（合計$400–700）
furniture-amazon-basics-5-shelf-unit,家具,Furniture,Amazon Basics 5段シェルフ（76×36×164cm、キャスター付き）,"Amazon Basics 5-Shelf Unit (76x36x164cm, with Casters)",通常使用,不明,2,,,50,120,available,https://www.amazon.com.au/gp/your-account/order-history,https://www.amazon.com.au/s?k=Amazon+Basics+5-Shelf+Adjustable,Amazon Basics 5段シェルフ（76×36×164cm）。キャスター付きで移動可能。,Amazon Basics 5-shelf unit (76x36x164cm). With casters for mobility.,37,各$40–80（2台で$80–160）
dyson-accessories-am09-replacement-remote,Dysonアクセサリー,Dyson Accessories,AM09 Replacement Remote（Dyson空気清浄機用リモコン）,AM09 Replacement Remote (for Dyson),通常使用,2025-07-19,1,20,15,10,25,available,https://www.amazon.com.au/gp/your-account/order-history,https://www.amazon.com.au/s?k=AM09+Replacement+Remote,Dyson AM09用交換リモコン。,Replacement remote for Dyson AM09.,38,
dyson-accessories-hygieia-mop-head-attachment,Dysonアクセサリー,Dyson Accessories,Hygieia モップヘッドアタッチメント（V7/V8/V10/V11/V15用、8枚パッド付き）,"Hygieia Mop Head Attachment (for V7/V8/V10/V11/V15, 8 Pads)",通常使用,2024-09-13,1,40,30,20,50,available,https://www.amazon.com.au/gp/your-account/order-history,https://www.amazon.com.au/s?k=Hygieia+Dyson+Mop,Dyson掃除機用モップヘッドアタッチメント。8枚のパッド付き。,Mop head attachment for Dyson vacuum (V7/V8/V10/V11/V15). Includes 8 pads.,39,
dyson-accessories-replacement-microfiber-mop-pads-4-pack,Dysonアクセサリー,Dyson Accessories,交換用マイクロファイバーモップパッド 4枚セット,Replacement Microfiber Mop Pads 4-Pack,未使用/新品,2025-01-07,1,20,15,10,25,available,https://www.amazon.com.au/gp/your-account/order-history,https://www.amazon.com.au/s?k=Dyson+Microfiber+Mop+Pads,Dyson掃除機用マイクロファイバーモップパッド4枚セット。未使用新品。,"Replacement microfiber mop pads (4-pack). Brand new, unused.",40,
dyson-accessories-hygieia-mattress-attachment,Dysonアクセサリー,Dyson Accessories,Hygieia 掃除機ヘッドアタッチメント（マットレス・布団用）,Hygieia Mattress Attachment (for Dyson),通常使用,2024-09-13,1,30,20,14,35,available,https://www.amazon.com.au/gp/your-account/order-history,https://www.amazon.com.au/s?k=Hygieia+Dyson+Mattress,Dyson掃除機用マットレス・布団アタッチメント。,Mattress/futon attachment for Dyson vacuum.,41,
dyson-accessories-9shome-vacuum-stand-rack,Dysonアクセサリー,Dyson Accessories,9SHOME 掃除機スタンドラック（キャスター付き、V6/V7/V8/V10/V11/V15対応）,"9SHOME Vacuum Stand Rack (with Casters, for V6-V15)",通常使用,2024-09-13,1,50,35,25,60,available,https://www.amazon.com.au/gp/your-account/order-history,https://www.amazon.com.au/s?k=9SHOME+Dyson+Stand,Dyson掃除機用スタンドラック。キャスター付きで移動可能。,Stand rack for Dyson vacuum. With casters for mobility.,42,
household-medstock-nitrile-gloves,生活,Household,MEDSTOCK ニトリルグローブ（黒、医療グレード、Mサイズ、100枚入り×複数箱）,"MEDSTOCK Nitrile Gloves (Black, Medical Grade, M, 100-pack)",未使用・新品,不明（複数回購入）,3,16,12,8,20,available,https://www.amazon.com.au/gp/your-account/order-history,https://www.amazon.com.au/s?k=MEDSTOCK+Nitrile+Gloves,MEDSTOCKニトリルグローブ（医療グレード、Mサイズ、100枚入り）。未使用新品。,"MEDSTOCK nitrile gloves (medical grade, size M, 100-pack). Brand new, unused.",43,1箱$8–15（複数箱で交渉可）
